Time (s),Total Torch(N.m)
[202.0],150.69998603682302
[203.0],150.95395627103065
[204.0],149.8623321039155
[205.0],149.84715997902387
[206.0],148.96523296430533
[207.0],148.76835614159026
[208.0],148.0269244843439
[209.0],133.3826504330193
[210.0],134.08001130969748
[211.0],133.52935677064463
[212.0],133.53014659754655
[213.0],133.02656415188827
[214.0],132.8428628930384
[215.0],132.36312079079343
[216.0],132.09637535696595
[217.0],131.64959440253415
[218.0],131.34525044046123
[219.0],110.62034058555793
[220.0],109.32892334086709
[221.0],107.94566451644654
[222.0],107.18958010741746
[223.0],106.94358047747572
[224.0],106.96067890431253
[225.0],106.69683511719522
[226.0],106.61126982159374
[227.0],106.35350764912367
[228.0],106.21550095650748
[229.0],107.93001941018066
[230.0],107.78556235518754
[231.0],107.9309747615969
[232.0],107.77390754907624
[233.0],107.6873935920128
[234.0],107.48658403123113
[235.0],107.33549408041354
[236.0],107.11856827837833
[237.0],106.93788833533425
[238.0],106.71858017530661
[239.0],116.64445559122686
[240.0],114.17556173791385
[241.0],112.97888956451366
[242.0],111.91623409374681
[243.0],111.17667855618026
[244.0],110.22010523730987
[245.0],109.764561562928
[246.0],109.40080222011969
[247.0],109.43208260994797
[248.0],109.05727072276515
[249.0],126.06413892449544
[250.0],121.90959124880555
[251.0],121.13828761993074
[252.0],118.75908591421461
[253.0],118.44796036694078
[254.0],116.71334531820999
[255.0],116.30333638744054
[256.0],114.99150379681572
[257.0],114.54988101147002
[258.0],113.53825121439723
[259.0],125.72433373745979
[260.0],121.68326984329771
[261.0],122.21935306528209
[262.0],120.37153742907259
[263.0],120.64361083241933
[264.0],119.4099275745319
[265.0],119.50554313863674
[266.0],118.63857817390469
[267.0],118.61007903267193
[268.0],117.9677550443113
[269.0],129.56836576353058
[270.0],123.68033441023742
[271.0],122.99889135703158
[272.0],120.00092443684275
[273.0],120.5687066122201
[274.0],119.5851668195214
[275.0],119.69306247193012
[276.0],118.84419577525475
[277.0],118.69497783362573
[278.0],117.95226471650463
[279.0],125.29659156118444
[280.0],121.25523414427896
[281.0],119.38659848647603
[282.0],117.20192296318234
[283.0],115.49271818713157
[284.0],113.70548906676646
[285.0],112.27916575938848
[286.0],111.66494848844758
[287.0],111.13910110498799
[288.0],110.51818090105928
[289.0],115.63105113141145
[290.0],110.86963025899074
[291.0],108.20870589344356
[292.0],105.40320382956735
[293.0],103.00283050314869
[294.0],100.72473508273737
[295.0],98.68962928282369
[296.0],96.76122839487341
[297.0],95.00356578631512
[298.0],93.33196079788578
[299.0],106.53274520675086
[300.0],99.70259595984506
[301.0],98.24027974724669
[302.0],95.39395996321284
[303.0],93.46120217906996
[304.0],91.18518862283088
[305.0],89.40833309265453
[306.0],87.46823524603518
[307.0],85.85261978613353
[308.0],84.16125794712877
[309.0],129.9938690578461
[310.0],121.70976622513288
[311.0],116.43995762656427
[312.0],111.84185017476833
[313.0],107.53953358065053
[314.0],103.92416562250392
[315.0],100.60894896587922
[316.0],97.6046305939741
[317.0],94.57406077590173
[318.0],110.14841132859002
[319.0],120.92639150274395
[320.0],122.19132835172941
[321.0],125.53982145434867
[322.0],128.0049951712367
[323.0],129.81779966196365
[324.0],131.18435678115534
[325.0],131.70677702807382
[326.0],148.94916734442285
[327.0],162.42849404473506
[328.0],162.92093128837556
[329.0],182.64192821698978
[330.0],184.19066014574997
[331.0],180.91860594466672
[332.0],176.1563193918521
[333.0],172.37744725557516
[334.0],168.32060758096844
[335.0],164.7406774342263
[336.0],161.35093084391133
[337.0],158.41293725561331
[338.0],155.72347369799482
[339.0],184.29278725923484
[340.0],180.0858100506205
[341.0],176.6203594476
[342.0],173.8057990398915
[343.0],171.73628937324554
[344.0],169.8392153272555
[345.0],168.3912070512057
[346.0],167.02731536848862
[347.0],165.9308866960233
[348.0],164.88863856349994
[349.0],166.6591222863574
[350.0],164.07842031334792
[351.0],163.89943250874515
[352.0],163.666055521842
[353.0],163.08182786050136
[354.0],162.9128020737973
[355.0],162.37214264265708
[356.0],162.19555072574957
[357.0],161.7171830338559
[358.0],161.5154067420115
[359.0],162.10801442171675
[360.0],158.83568311363376
[361.0],159.7123212999567
[362.0],158.34390424446767
[363.0],158.73021904149545
[364.0],157.73560488215603
[365.0],157.92782890962388
[366.0],157.28654958059474
[367.0],157.2717764198231
[368.0],156.74926057746683
[369.0],150.40123339243556
[370.0],148.29256491882393
[371.0],148.702294629848
[372.0],147.4789672789574
[373.0],147.4752440002657
[374.0],146.53914522945897
[375.0],146.34271801457945
[376.0],145.58102689445553
[377.0],145.27560887183645
[378.0],144.62661294802027
[379.0],143.0732286586485
[380.0],142.11984277575164
[381.0],141.6458693788201
[382.0],140.965425991606
[383.0],140.54940619768016
[384.0],139.98916043625874
[385.0],139.6407335043791
[386.0],139.25169397120004
[387.0],138.94940607150264
[388.0],138.58433754409623
[389.0],134.63024286700744
[390.0],134.6651131892124
[391.0],134.15976926458498
[392.0],133.93613695319317
[393.0],133.57127508615747
[394.0],133.33586943723535
[395.0],133.01705236502437
[396.0],132.77516165606707
[397.0],132.4815575849611
[398.0],132.23539789545396
[399.0],130.64005685475152
[400.0],130.25686668302637
[401.0],129.47394774476936
[402.0],129.1960445116377
[403.0],128.66087973043395
[404.0],128.42094624452469
[405.0],128.01510400401156
[406.0],127.78759642328642
[407.0],127.45593129555392
[408.0],127.23394761670203
[409.0],123.87675580856094
[410.0],123.87186493112524
[411.0],123.32269683684432
[412.0],123.11625011615627
[413.0],122.72184680910372
[414.0],122.50578297020992
[415.0],122.18045998731806
[416.0],121.96541461588492
[417.0],121.68434088028734
[418.0],121.47288203818822
[419.0],122.60765480922805
[420.0],122.53015957856408
[421.0],121.69456616686254
[422.0],121.47118444604244
[423.0],120.91812224982684
[424.0],120.70970971658467
[425.0],120.29995366801971
[426.0],120.10100549834745
[427.0],119.77669127150507
[428.0],119.58258357986351
[429.0],120.6759372855615
[430.0],120.17641095790138
[431.0],119.3619303430501
[432.0],118.97813317018483
[433.0],118.48919278714172
[434.0],118.22245775577473
[435.0],117.88176967684149
[436.0],117.67030667789457
[437.0],117.4084358999053
[438.0],117.22388797912548
[439.0],115.10338103877098
[440.0],115.07392631296986
[441.0],114.6009339555431
[442.0],114.46527903232895
[443.0],114.15029225063589
[444.0],114.01606234068957
[445.0],113.76976861686786
[446.0],113.63288005822034
[447.0],113.42559684455574
[448.0],113.28603810641708
[449.0],113.52439448811963
[450.0],113.25348112307415
[451.0],112.89369570086416
[452.0],112.60289064072775
[453.0],112.33629083805553
[454.0],112.11178333612499
[455.0],111.93402346568269
[456.0],111.7636499250764
[457.0],111.60646542517179
[458.0],111.4535375780984
[459.0],113.53994015489118
[460.0],113.16322836902383
[461.0],112.79519980262818
[462.0],112.62021012701223
[463.0],112.28499159442276
[464.0],112.13350106562089
[465.0],111.83007557885703
[466.0],111.67610973297361
[467.0],111.41313515246742
[468.0],111.24479271439868
[469.0],114.37741921949241
[470.0],113.56423555398176
[471.0],113.22644731255727
[472.0],112.90643447906614
[473.0],112.50476632472929
[474.0],112.16409240692809
[475.0],111.77709407722692
[476.0],111.43611871232312
[477.0],111.07078961361208
[478.0],110.73765676220792
[479.0],113.6720886715786
