Time (s),left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_elbow_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_elbow_pitch_joint
0.0,-1.2202334440859273e-16,-4.569101053916318e-17,1.4237498812193983e-16,-4.125658993932795e-16,1.9072066041309493e-17,1.9699498932191595e-17,-2.7304429659910873e-17,1.052877964664664e-17,-1.0528856144915948e-16,1.4440267409333958e-16,4.8904637605545935e-17,-1.3088038798710134e-16,-5.195315914627283e-16,1.2279894243854732e-17,-6.7572350410790615e-18,-7.271600065882317e-18,1.253232039582484e-17,-7.199123651734224e-17
1.0,-1.9426856117053381e-16,-6.055216077682587e-17,1.6665210674335087e-16,-5.994932492479729e-16,2.2996561498623098e-17,2.0504266428461512e-17,-5.4270247005353536e-17,2.324789738582514e-17,-1.9273196901060574e-16,2.5806053296825556e-16,9.607619875702262e-17,-2.3040984456680705e-16,-9.016525857646574e-16,1.1449103604681418e-17,-4.249924032716366e-18,-1.4257871117263334e-17,2.2356502379256573e-17,-1.4852334098737074e-16
2.0,-2.224701940398971e-16,-4.447138462855353e-17,1.1590100657911152e-16,-6.420885204754702e-16,1.9247139737318288e-17,2.1876987256607458e-17,-3.783009644296309e-17,3.981078827363513e-17,-2.05789048808975e-16,2.80775666400789e-16,1.1912758868816215e-16,-2.1331253890959856e-16,-1.0139633645942993e-15,5.792405758477613e-18,-6.73741338009949e-19,-5.217793833273023e-17,3.2276678941750575e-17,-2.2750655963559364e-16
3.0,-2.3391988570422706e-16,-5.974715590029718e-17,1.2760317812463662e-16,-6.432218516684923e-16,1.7809124866583863e-17,2.1049964521427765e-17,-5.41878476666004e-17,4.606432355188478e-17,-2.5893839651359143e-16,3.1550277340471957e-16,1.3005098868901569e-16,-2.019581538637341e-16,-1.0689115459668922e-15,-4.52927655164182e-19,-1.8628789148905324e-18,-4.7381490613863104e-17,4.5358601994518594e-17,-2.4763150786219697e-16
4.0,-2.6556523919244937e-16,-5.67095625255105e-17,1.1577709917647853e-16,-7.097862075121191e-16,1.7139206317156318e-17,2.3282665932406396e-17,-5.392845813416406e-17,6.125932128053245e-17,-2.862936653713046e-16,3.430613454313521e-16,1.5500781144638734e-16,-2.0112108805179112e-16,-1.152259300095729e-15,-2.498552937489401e-18,-1.0818295511482997e-18,-5.878040575541546e-17,5.159291117481248e-17,-2.8698946404232523e-16
5.0,-3.5258345980724565e-16,-7.667800264051085e-17,1.8766236704930892e-16,-9.376794919263029e-16,1.7119484947668852e-17,2.4356302311511957e-17,-4.846810457138447e-17,8.277056015729343e-17,-3.3435844285156415e-16,4.2537158632183e-16,1.884926939899388e-16,-2.221617462451124e-16,-1.3968236171030835e-15,-1.88593881266679e-18,-1.642169888050287e-18,-7.622565411611686e-17,6.26887335916328e-17,-3.469857170925197e-16
6.0,-3.6188004216935454e-16,-7.065364180220994e-17,1.4496311831375385e-16,-8.796400835467026e-16,1.1470532144318692e-17,2.3089937423677758e-17,-5.770097438284127e-18,9.04546944645691e-17,-2.768209161963576e-16,4.326472524459701e-16,1.951153209498865e-16,-1.7537670364280372e-16,-1.3205496787723695e-15,-1.0721355444236142e-17,-1.5536058311418389e-18,-3.418615215436994e-17,6.590704369215861e-17,-2.9000972503026406e-16
7.0,-3.9103021377874336e-16,-8.393475517931715e-17,1.5160057594379536e-16,-9.633426095767421e-16,1.5171492670081518e-17,2.3910989426282538e-17,-2.729569412892733e-17,1.030415612696533e-16,-3.5836669445028494e-16,4.627031502175199e-16,2.090711946022384e-16,-1.7341077335870083e-16,-1.3867390536328438e-15,-7.813101788405632e-18,-2.2383985899603475e-18,-5.588623785586876e-17,8.306034603353219e-17,-3.6034963027556854e-16
8.0,-3.436633176976404e-16,-8.447759226059111e-17,1.130529206578109e-16,-7.79177927583078e-16,1.000377740752966e-17,2.2841090370487642e-17,-1.1357366280150738e-17,1.096758190771527e-16,-3.3387578032740507e-16,4.378351497635061e-16,1.9890296095427848e-16,-9.372035819250235e-17,-1.2206158548577114e-15,-1.455458744502299e-17,-3.0126820270979003e-18,-7.615762773358124e-18,8.963755271377313e-17,-2.7156385166338226e-16
9.0,8.16417396068573,-11.912028789520264,4.235766641795635,-5.724764615297318,-6.306322887539864,2.81742200255394,-1.5770794823765755,1.5666043758392336,0.7670897617936131,-2.3657687008380885,2.8093835711479187,-4.239118322730064,-18.635140359401703,-6.090707033872604,0.7223734259605408,1.3427125290036201,1.3843226432800293,0.49789678305387464
10.0,8.220417771253734,-11.381776266132398,2.143782198251207,-5.717162620954569,-5.057125860928965,1.887914718618441,-1.5147464270329583,1.558760409368916,0.8300364742621902,-3.3174987824372906,2.422037330737247,-2.3207071265174943,-14.110776048481886,-5.08598966456388,0.585068423183335,1.1441658546485562,1.3261345525831265,0.38487830617300056
11.0,8.136121825424325,-10.971663383791304,1.0666094946469524,-5.251936016718648,-4.478761735804904,1.7747364346923424,-1.4822490425624597,1.562383804676408,0.8043120163689197,-3.874075413582025,2.233981141807423,-1.2430478411689605,-10.876296141150483,-4.546534681006498,0.5151879223178204,1.012694805620655,1.2665807286794006,0.28388263187419566
12.0,7.95855248815145,-10.649174596368898,0.39033143974070805,-4.783140894629873,-4.176379166039636,1.7476845500436173,-1.459964262634323,1.5691553381899193,0.7424015125504322,-4.163685575913598,2.162103489238902,-0.6797415425183866,-8.661818195641134,-4.221848944617187,0.4714906193030248,0.9259592453548684,1.2105192807653191,0.19457457188360416
13.0,7.721988401111212,-10.388285348154188,-0.04616323113931298,-4.425453026227341,-3.9912125170597266,1.7244077414491858,-1.4355398206498928,1.5757178273173433,0.673233185653827,-4.283850294373694,2.155300747242106,-0.40898429193167685,-7.152229254996504,-4.003462414114337,0.4426683093655941,0.8677713030506367,1.1585677574665711,0.11790447871402404
14.0,7.454414280531736,-10.169045601065845,-0.3288203657496789,-4.166243534740785,-3.8583481241316884,1.697456110146433,-1.4046375984156418,1.5805913904719415,0.6099417203667121,-4.299975425856562,2.182594090746834,-0.296351609709784,-6.106202047507967,-3.841243013349226,0.42258104680680686,0.8284066328980152,1.1103863361520503,0.05469468273271816
15.0,7.174792300670891,-9.97769613619625,-0.5124762251952433,-3.9697674594411483,-3.750247406173053,1.6676176477384073,-1.3670635128480755,1.583256257822314,0.5567768529406375,-4.2535210118240405,2.2260293111587837,-0.2642717839146882,-5.360579737977675,-3.7105210766127987,0.40749803120214956,0.8017386696885767,1.0654874337810702,0.004416952101205185
16.0,6.894498626907927,-9.805251314535976,-0.6321532126597029,-3.8070551371015773,-3.6547059370342385,1.6361195057819575,-1.324251171660054,1.5836745997286301,0.513741433014355,-4.170106306070127,2.275638592252208,-0.26955655337089723,-4.810367465066545,-3.5984689269723718,0.39520996648378914,0.7836938448290347,1.0234335490862396,-0.034449908206410584
17.0,6.619765315885983,-9.645965786060193,-0.7099766085845336,-3.6599456835577406,-3.5660792248814053,1.6038317834131446,-1.2779984894783112,1.5820222153790509,0.4792087391538575,-4.065414843698845,2.326137922947103,-0.2890487493048357,-4.389195686518855,-3.49810749017412,0.38445152397236115,0.7714811132223414,0.9838687833469376,-0.06381709328718754
18.0,6.353685456555496,-9.49617088816603,-0.7599257013989242,-3.51858057299553,-3.481660587591488,1.5713058125604302,-1.2299303561911095,1.5785468811507128,0.4512144860282204,-3.9490475632125115,2.3748981439477994,-0.3109514216303557,-4.05516046479751,-3.40549887042446,0.37451977167481654,0.7631651221410538,0.9465089303016582,-0.08557189498614992
19.0,-0.6769576071322276,-3.775761622341117,1.5107492832010472,-2.432535133053279,-4.117221995101609,3.380478364377521,-1.9728307050828024,2.0941621232743532,-0.17861413259413517,-2.921311890686037,1.1406947078333736,-2.6269546922411173,0.35569037563508665,-3.4985444001302834,2.5372989968340214,2.16454636831022,0.4602006528085842,-0.19257536474713322
20.0,-0.5119238854424213,-3.721747558963304,0.8982307297526964,-1.5539422288184888,-3.8883096262166443,2.714741498507614,-1.7642173924947728,2.019631843196437,0.13718899020208003,-2.763933429717169,0.9998518990952988,-2.474131460865219,-0.27296869128195134,-3.3142890008885915,1.8865550512064915,2.0352939733609485,0.48449700251961525,-0.33841663903671537
21.0,-0.44065565023361564,-3.676883347891841,0.7497307122745411,-1.0146740844291675,-3.727064844882321,2.589412884915492,-1.6202486584818847,1.9621344399055114,0.3197505579452996,-2.64919862838095,0.9009620773904607,-2.1055813330326485,-0.6096871445359966,-3.2026134164461597,1.7646986697028257,1.937381119472359,0.49621806680852193,-0.4255180682915267
