Time (s),Total Torch(N.m)
[485.0],18.020134893063265
[486.0],17.797275186830273
[487.0],17.679972040227753
[488.0],17.47326265266529
[489.0],19.36294701707614
[490.0],18.858498661452618
[491.0],18.923161356567004
[492.0],18.736920215013924
[493.0],18.68785097412172
[494.0],18.518916537345792
[495.0],18.42724507366789
[496.0],18.261063240584406
[497.0],18.142338575323535
[498.0],17.976609649212467
[499.0],13.523989733366207
[500.0],13.128054478041085
[501.0],13.16749126332361
[502.0],13.057610266885526
[503.0],12.981775256221361
[504.0],12.85708575662551
[505.0],12.746349983619872
[506.0],12.60690750377635
[507.0],12.476155166852324
[508.0],12.327580699267452
[509.0],10.496546190723247
[510.0],9.90888602232335
[511.0],10.283734422879869
[512.0],10.075126306307977
[513.0],10.171635704486071
[514.0],9.970255992391102
[515.0],9.955713410900227
[516.0],9.760270266384554
[517.0],9.683818782466643
[518.0],9.495432338341555
[519.0],9.898135329886216
[520.0],9.421309692970762
[521.0],9.604911084696734
[522.0],9.439541361482757
[523.0],9.435496626486382
[524.0],9.267728488106577
[525.0],9.196087498305667
[526.0],9.02567984155549
[527.0],8.916577263108902
[528.0],8.746363306422761
[529.0],7.528645031350531
[530.0],7.114599160028654
[531.0],7.172708343011449
[532.0],6.99822855283289
[533.0],6.961211296736702
[534.0],6.80439030106279
[535.0],6.726859140767846
[536.0],6.573884491500641
[537.0],6.469584848047351
[538.0],6.317282121089871
[539.0],6.154448281582951
[540.0],5.469306736564369
[541.0],6.034628500174307
[542.0],5.7545463669533685
[543.0],5.981905889290799
[544.0],5.743864781621491
[545.0],5.820724527892681
[546.0],5.610786177845103
[547.0],5.600323748569865
[548.0],5.410844806189827
[549.0],-2.827565438840272
[550.0],-3.6644953269157763
[551.0],-2.9797978180530857
[552.0],-3.2371126625918745
[553.0],-2.950521759450928
[554.0],-3.163778025028594
[555.0],-3.0431895211525717
[556.0],-3.230058680776035
[557.0],-3.2054206940468952
[558.0],-3.3728084550284922
[559.0],-4.867302803911907
[560.0],-5.784417213252906
[561.0],-4.933628899826493
[562.0],-5.232227464782786
[563.0],-4.86092473454905
[564.0],-5.111552942875291
[565.0],-4.949187183159054
[566.0],-5.17059630510684
[567.0],-5.130519507831092
[568.0],-5.330608404392572
[569.0],-12.641378502452351
[570.0],-12.934997838117289
[571.0],-12.400967833139322
[572.0],-12.362147275228004
[573.0],-12.16262042939248
[574.0],-12.188607341553897
[575.0],-12.119452456305146
[576.0],-12.185775283817609
[577.0],-12.190897636096437
[578.0],-12.280516396000342
[579.0],-19.253352641205506
[580.0],-20.146552596143888
[581.0],-18.648182317878618
[582.0],-18.749775723380235
[583.0],-17.97783660855532
[584.0],-18.06489350288889
[585.0],-17.614669226645713
[586.0],-17.695472301248458
[587.0],-17.43702391476002
[588.0],-17.51269358037901
[589.0],-34.18873384792519
[590.0],-34.81199144255189
[591.0],-33.48497596672945
[592.0],-33.54181906972076
[593.0],-32.85421660042837
[594.0],-32.91509997765251
[595.0],-32.51379218679055
[596.0],-32.57395178209975
[597.0],-32.34110845726908
[598.0],-32.39789443976992
[599.0],-50.0972104297656
[600.0],-50.8968751415622
[601.0],-48.31819225458387
[602.0],-48.62244718643441
[603.0],-47.14636196603395
[604.0],-47.35712451073763
[605.0],-46.43785380844827
[606.0],-46.56410930658618
[607.0],-45.97362032693212
[608.0],-46.038534346135414
[609.0],-65.75566913723354
[610.0],-66.63328148563862
[611.0],-62.91782235205203
[612.0],-63.27666297195778
[613.0],-61.11331651600236
[614.0],-61.347189755804834
[615.0],-59.975137897894754
[616.0],-60.08536579703478
[617.0],-59.17717810803843
[618.0],-59.19554836651069
[619.0],-74.18987132628956
[620.0],-73.94166123897149
[621.0],-72.11011217457761
[622.0],-72.29232705343239
[623.0],-71.07997002256364
[624.0],-71.17288453079115
[625.0],-70.36498945030992
[626.0],-70.37006948273506
[627.0],-69.80779050272035
[628.0],-69.75323839289572
[629.0],-81.5719003366114
[630.0],-80.73531566548843
[631.0],-78.010367768585
[632.0],-78.25802002098692
[633.0],-76.37989131125416
[634.0],-76.48366320735892
[635.0],-75.20766341625374
[636.0],-75.16138589026116
[637.0],-74.2508874306599
[638.0],-74.10408809665586
[639.0],-94.57045844685547
[640.0],-92.38320574006137
[641.0],-90.27879026298412
[642.0],-89.87427502532351
[643.0],-88.0851163070276
[644.0],-87.62715233759414
[645.0],-86.26172188920526
[646.0],-85.72245121048688
[647.0],-84.63025953322966
[648.0],-84.0602307720905
[649.0],-112.57470988822051
[650.0],-110.61842083528715
[651.0],-108.63095227398246
[652.0],-107.77570485830555
[653.0],-104.77863471660297
[654.0],-102.44256992678746
[655.0],-99.3328035821996
[656.0],-97.37461493117314
[657.0],-94.91569865294606
[658.0],-93.17145771593302
[659.0],-112.4642224341379
[660.0],-111.89010728914765
[661.0],-113.37320474235375
[662.0],-110.40586809925085
[663.0],-108.90351487322145
[664.0],-105.77069365040221
[665.0],-103.86077259772442
[666.0],-113.29956776511895
[667.0],-105.43657809475665
[668.0],-101.29869243645824
[669.0],-104.57140872206121
[670.0],-99.5375778506006
[671.0],-100.70360244086554
[672.0],-94.33718228467109
[673.0],-105.58931340810304
[674.0],-114.41591879468109
[675.0],-121.6121613722385
[676.0],-127.4000651578231
[677.0],-132.07962693663566
[678.0],-135.8757853765521
[679.0],-131.48031812917324
[680.0],-133.1067240180369
[681.0],-136.79800049448
[682.0],-138.91717392500811
[683.0],-140.37181799231337
[684.0],-153.04948450484386
[685.0],-162.399476889988
[686.0],-168.10103986615542
[687.0],-171.1062410797536
[688.0],-169.7813193556918
[689.0],-154.16826197671296
[690.0],-144.32445455258048
[691.0],-136.1698250682388
[692.0],-135.81836289643775
[693.0],-140.15037283150622
[694.0],-138.9619191313113
[695.0],-140.83940438446209
[696.0],-139.57386571320322
[697.0],-140.21687337744046
[698.0],-139.06394561446936
[699.0],-134.40581002342515
[700.0],-127.9427957774826
[701.0],-130.48724905913704
[702.0],-126.76905478285937
[703.0],-128.09646636586467
[704.0],-125.70562483154954
[705.0],-126.31444819490235
[706.0],-124.68291623745128
[707.0],-124.84765111455722
[708.0],-123.65997804549895
[709.0],-117.94625693067097
[710.0],-113.6974244755847
[711.0],-114.38792218423912
[712.0],-112.07498771606595
[713.0],-112.3973642420888
[714.0],-110.883468249472
[715.0],-110.92869512832932
[716.0],-109.84040315542552
[717.0],-109.69173229896367
[718.0],-108.84757012480455
[719.0],-86.14053127175538
[720.0],-87.5140412186598
[721.0],-85.42708612165154
[722.0],-86.27670677116402
[723.0],-84.92428191709236
[724.0],-85.36486318219178
[725.0],-84.44421876192712
[726.0],-84.6219647723175
[727.0],-83.96186092541258
[728.0],-83.97784039837305
[729.0],-84.9115393033882
[730.0],-85.75877955702843
[731.0],-84.39830619503327
[732.0],-84.89493845570856
[733.0],-83.89261789436614
[734.0],-84.0818947627046
[735.0],-83.34786314905381
[736.0],-83.35709704774676
[737.0],-82.79847251439756
[738.0],-82.70261414250179
[739.0],-81.18123023743917
[740.0],-81.00382919593407
[741.0],-80.2909113969591
[742.0],-80.56690818248354
[743.0],-80.0022367381549
[744.0],-80.13852472408638
[745.0],-79.73210122682976
[746.0],-79.76161489515846
[747.0],-79.4516147044363
[748.0],-79.41142976635842
[749.0],-83.58925395494526
[750.0],-84.14645377181033
[751.0],-83.59399278199737
[752.0],-83.87106305343542
[753.0],-83.42459566174742
[754.0],-83.51552776804492
[755.0],-83.15918859399498
[756.0],-83.14007319504863
[757.0],-82.84304983059086
[758.0],-82.75625032851258
[759.0],-87.94025439075648
[760.0],-88.12375972232428
[761.0],-87.38341944265103
[762.0],-87.47767450679434
[763.0],-86.97135886777876
[764.0],-86.9696921945453
[765.0],-86.58437950978436
[766.0],-86.50868245978141
[767.0],-86.19031343570653
[768.0],-86.06325898151385
[769.0],-87.59415774534658
[770.0],-87.58887391079695
[771.0],-87.1539142818144
[772.0],-86.95066314745551
[773.0],-86.63622671144215
[774.0],-86.42651431089153
[775.0],-86.14886186378396
[776.0],-85.93339058407624
[777.0],-85.67455537396336
[778.0],-85.45408662879899
[779.0],-95.75081846789806
[780.0],-95.54129939424817
[781.0],-94.95106396933328
[782.0],-94.63401919536953
[783.0],-94.17437131627442
[784.0],-93.86489865114518
[785.0],-93.46617699894072
[786.0],-93.15828283271945
[787.0],-92.7928214796577
[788.0],-92.48312671444822
[789.0],-87.43419446075335
[790.0],-87.15037954385984
[791.0],-86.91810071589677
[792.0],-86.54842518773768
[793.0],-86.31196725472837
[794.0],-85.976969711247
[795.0],-85.73239013065924
[796.0],-85.428352124698
[797.0],-85.18336325989313
[798.0],-84.90287999492476
[799.0],-91.2642620679818
[800.0],-90.6398102221681
[801.0],-90.63276810989625
[802.0],-90.08717632518261
[803.0],-89.92608680287915
[804.0],-89.45305167305506
[805.0],-89.22980805465022
[806.0],-88.81643870600469
[807.0],-88.56294364888835
[808.0],-88.19207197912174
[809.0],-90.15897141603072
[810.0],-89.49973576498334
[811.0],-89.451441228123
[812.0],-88.89795504331634
[813.0],-88.74003089365472
[814.0],-88.27473977471809
[815.0],-88.06278623594619
[816.0],-87.6607305672632
[817.0],-87.4197659705466
[818.0],-87.0607222162515
[819.0],-88.65460135567788
[820.0],-88.6316549695236
[821.0],-88.44160077953126
[822.0],-88.09358533100351
[823.0],-87.82889489244344
[824.0],-87.46580500411356
[825.0],-87.1728692219254
[826.0],-86.82380750713985
[827.0],-86.52250014565628
[828.0],-86.1877986307666
[829.0],-88.46114923793603
[830.0],-88.2679538346949
[831.0],-88.0824538296039
[832.0],-87.62852583963921
[833.0],-87.37994113642561
[834.0],-86.94879118884963
[835.0],-86.66136479922095
[836.0],-86.2624777524526
[837.0],-85.95686642577225
[838.0],-85.5826579236549
[839.0],-91.32762875934743
[840.0],-90.82609538325794
[841.0],-90.42779483875402
[842.0],-89.87239277986569
[843.0],-89.49312631697074
[844.0],-88.9981531803934
[845.0],-88.61909121743514
[846.0],-88.16761968311637
[847.0],-87.79031183083033
[848.0],-87.36805256097323
[849.0],-98.7390284245666
[850.0],-97.98740227831858
[851.0],-97.67957227619094
[852.0],-96.91583705313256
[853.0],-96.54441120760649
[854.0],-95.8814460874013
[855.0],-95.47486092066353
[856.0],-94.88650312410442
[857.0],-94.46203932423016
[858.0],-93.92422232745628
[859.0],-99.79978490477573
[860.0],-98.94281692508719
[861.0],-98.74011593923875
[862.0],-97.79938490997361
[863.0],-97.5212370054283
[864.0],-96.73969068165954
[865.0],-96.38877144301524
[866.0],-95.7201516834202
[867.0],-95.32595288692869
[868.0],-94.73238672780586
[869.0],-100.96538372531072
[870.0],-100.01619644713057
[871.0],-99.80679754643745
[872.0],-98.7361842601917
[873.0],-98.45520141432685
[874.0],-97.5778531167699
[875.0],-97.21362459718117
[876.0],-96.47085818476978
[877.0],-96.0545712442335
[878.0],-95.39951762607069
[879.0],-98.77906586992304
[880.0],-98.15001472950331
[881.0],-97.57900138013804
[882.0],-96.7056154075686
[883.0],-96.25538870789836
[884.0],-95.52690974981105
[885.0],-95.07395784624049
[886.0],-94.4378543595931
[887.0],-93.97510131151184
[888.0],-93.39536696715227
[889.0],-93.35997877228571
[890.0],-92.76612817086331
[891.0],-92.14588859514014
[892.0],-91.24602017442618
[893.0],-90.799826127029
[894.0],-90.06632411892458
[895.0],-89.62750634699368
[896.0],-88.9961737514944
[897.0],-88.54895599659093
[898.0],-87.9774301261308
[899.0],-85.9679264774062
[900.0],-84.7136832461655
[901.0],-84.32230263153407
[902.0],-83.00477401784799
[903.0],-82.75791921841268
[904.0],-81.78127323978269
[905.0],-81.48613906992011
[906.0],-80.71120094040941
[907.0],-80.36408502793034
[908.0],-79.70834434490597
[909.0],-75.2196099043726
[910.0],-74.35650595362668
[911.0],-73.77922096165247
[912.0],-72.61654974212516
[913.0],-72.30542682397916
[914.0],-71.44517848771905
[915.0],-71.13061108731314
[916.0],-70.44869713370318
[917.0],-70.10804649794522
[918.0],-69.53002033048793
[919.0],-63.44358075786323
[920.0],-61.968672335771465
[921.0],-61.7861438027472
[922.0],-60.1716984862478
[923.0],-60.167648659380134
[924.0],-59.04403870860667
[925.0],-58.94938183544097
[926.0],-58.11886930834514
[927.0],-57.93470810364282
[928.0],-57.2776989372848
[929.0],-44.952631568100614
[930.0],-43.57124734235955
[931.0],-43.418790648204165
[932.0],-41.64004354049297
[933.0],-41.644947400418175
[934.0],-40.3665549644919
[935.0],-40.477957130291855
[936.0],-39.684059564161075
[937.0],-39.51197239450871
[938.0],-38.815429761042026
[939.0],-15.659291984823644
[940.0],-14.603157532086252
[941.0],-14.655401543871688
[942.0],-12.821231886620717
[943.0],-13.226743793171712
[944.0],-12.017639554345386
[945.0],-12.31364006657282
[946.0],-11.645705727900598
[947.0],-11.602428029335147
[948.0],-11.012879592188645
[949.0],36.029076801073536
[950.0],37.223640116506196
[951.0],35.777888103659606
[952.0],37.34638733879245
[953.0],35.994939914930754
[954.0],37.02158853756001
[955.0],36.272067689213564
[956.0],36.637811280198505
[957.0],36.17459811467697
[958.0],36.51673378088848
[959.0],107.78447808901524
[960.0],105.53054269215896
[961.0],102.83442903390085
[962.0],102.11617314175234
[963.0],99.8663546455961
[964.0],100.61244380961143
[965.0],96.01466940859369
[966.0],95.98477143083714
[967.0],94.98344515816446
[968.0],94.51830649407249
[969.0],153.66261271475398
[970.0],146.89287175206553
[971.0],138.8701290588046
[972.0],134.78453818601162
[973.0],132.34719469901978
[974.0],129.73839563616784
[975.0],127.9535457119652
[976.0],125.94854476473616
[977.0],124.39209310662694
[978.0],122.66552584703808
[979.0],115.13496545582926
[980.0],111.03768456118834
[981.0],108.63647476794435
[982.0],104.6740207159664
[983.0],103.51465679263562
[984.0],100.68223288154034
[985.0],99.55403226950165
[986.0],97.32628159723309
[987.0],96.1268530365365
[988.0],94.24501971454367
[989.0],56.71385541766623
[990.0],51.02588597413162
[991.0],50.47838194541814
[992.0],49.93441570516603
[993.0],46.35150356009845
[994.0],48.357348429077554
[995.0],51.870990856711586
[996.0],55.0498963866988
[997.0],57.98102199115196
[998.0],60.68408341470447
[999.0],82.86130096007807
[1000.0],82.1771435707239
[1001.0],81.46341602354686
[1002.0],80.69183189865414
[1003.0],79.8707233444717
[1004.0],79.15707559930883
[1005.0],78.38827587491693
[1006.0],77.55513404996731
[1007.0],76.69057368994972
[1008.0],75.93605692302461
[1009.0],68.38188916160756
[1010.0],67.09958214590188
[1011.0],66.20544488525024
[1012.0],63.33653617552582
[1013.0],62.65015561030219
[1014.0],60.454452176489276
[1015.0],59.60601336192578
[1016.0],57.90369288329722
[1017.0],57.011132095674675
