Time (s),left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_elbow_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_elbow_pitch_joint
19.0,-7.4315696771941635,-5.0303097761195845,0.9242627446958949,-3.506486869755142,-2.7876676464983676,2.672384673260268,-1.619125344537648,2.5498984083278473,-0.3620539299972229,-3.019477308332621,3.1720997733414125,-2.6529282988732916,-2.116695514626782,-1.7209784611432069,1.8712040195296251,1.665146026948109,0.42620687531879975,-0.12061141100605738
20.0,-6.086269416873576,-4.9143582025041255,0.0864567991275278,-2.4946142485147957,-2.3811800854033685,0.18717555082649007,-1.429503122123267,2.444812371173793,0.055838019999106064,-3.2229099095957023,2.8872192150480362,-2.1206145624444126,-1.8708579021042606,-1.8198948772111616,-0.05461334350968183,1.5747650071520969,0.454755154141971,-0.17300970655439984
21.0,-5.199631832483626,-4.816522116609417,0.10665185396893495,-1.7622247557794153,-2.3309026135035857,2.1198879145583556,-1.3223170267644944,2.369486265515251,0.2784977394703976,-3.286236605127563,2.7171432881635686,-1.4540482165722386,-1.7522599677479977,-1.7601819421541545,1.344170243640782,1.5018393509107097,0.46684243247643364,-0.21855860258332394
22.0,-4.489459336235904,-4.767755568955917,-0.19470131542222457,-1.184797676605366,-2.2483265674028283,0.6508545693370578,-1.265245668502612,2.296346376343494,0.400774522885186,-3.1775271648317394,2.5761668512434213,-1.3191567864057197,-1.7267495146317664,-1.7313642949791057,0.22558447744626187,1.4485440606211244,0.48454956373015956,-0.26119555122331106
23.0,-4.01024619394191,-4.715405967105927,-0.05539298979412699,-0.7714849450525803,-2.180416115248077,1.7670568455175522,-1.2316354579885256,2.2384205932147236,0.4580136887310815,-3.0630343592050124,2.4858194583281463,-1.0285609465110674,-1.7108330567635708,-1.7126071813008794,1.0486744074790875,1.405046082702443,0.49163854590026723,-0.28931513863370484
24.0,-3.6051920418917796,-4.682732411220966,-0.14539689959662727,-0.42592351935142636,-2.1287525345233966,0.8992571718545399,-1.2121236864597182,2.180341424890906,0.48646722625932637,-2.889703775049444,2.4022188475155333,-1.0050913827697698,-1.7235638315506936,-1.6880456528462466,0.39575996839021044,1.3715825214689075,0.501670276779887,-0.3114968172439069
25.0,-3.3218947363895452,-4.6416712509460405,-0.00504937100090963,-0.16973027650970396,-2.0767430328827023,1.5421817507831292,-1.1980583790794928,2.1307158114547633,0.49357911558217404,-2.7404276894186452,2.3430979370193503,-0.8658693289376922,-1.7236733683406449,-1.671401806023571,0.87643178510368,1.3429207924875466,0.5050589863509743,-0.32303798196591593
26.0,-3.0744545977473243,-4.6082132897437305,-0.015678418843273256,0.050762968600147396,-2.035509331260986,1.0289150937345046,-1.1874589474283417,2.080900732868894,0.4935885731024425,-2.573942577478455,2.284769111479932,-0.8680249825850419,-1.7296840001912086,-1.64967020545547,0.49395120889288724,1.3192427107402562,0.5098957208500847,-0.3304594915758656
27.0,-2.8953923195498508,-4.566944124862908,0.09606515616919253,0.21949715103347867,-1.9932813026586125,1.3970314719414092,-1.1774301596097754,2.036205954550594,0.4866527093430329,-2.4330295846267314,2.239424438352657,-0.794876659561834,-1.7216289902129196,-1.6319511972408782,0.7725052349774317,1.2977550007789151,0.5105763578654066,-0.33154515267696394
28.0,-2.7361836529262895,-4.528290134866945,0.11210002825297405,0.3668364943049216,-1.9576851949363885,1.0921535181329487,-1.1679224574000915,1.9916578342499216,0.4788294113400038,-2.2898043214134542,2.1937332493599113,-0.7995191047922168,-1.7127705132174498,-1.610993394484007,0.5474719323159887,1.2786471152526875,0.511914983387231,-0.3304726133171023
29.0,-4.857584231400949,-0.9294185511553765,-1.5715808536606986,-2.6076837459389246,-2.788196576816298,1.875736318383228,-2.5829067362226517,1.4363834436116907,0.32438106997982086,-11.726169260720441,-2.8647342569059315,-2.294902005358076,-3.5680719796715463,-0.8308315983440577,2.36437407102759,2.3366287807221813,0.7559674443957184,-0.27945751754636505
30.0,-4.675918007435035,-1.0956819912507032,-1.0413394551137056,-2.3053836096679308,-2.256694411798061,1.0778235117365207,-2.44719554190109,1.3719951901800496,0.4623493468653914,-10.700516036639122,-2.9201947523924545,-2.593506439673737,-3.902735236946027,-1.4467237710375023,0.3529596448478096,2.2373301392607634,0.7893189470113816,-0.4789840839786329
31.0,-4.475701448736913,-1.1882846270919112,-0.5427901488411546,-1.929356101249482,-2.294669911274865,1.618661480296697,-2.3494021271421484,1.3241658551594786,0.5454095441990912,-9.915448702844005,-2.952439326716121,-2.3643219272655873,-4.179205489623198,-1.3526921609507268,1.8729578716599893,2.1776690720626695,0.802859140330891,-0.5835522223224447
32.0,-4.252902550148221,-1.2599367862842712,-0.3042941815277853,-1.5732240633673644,-2.229839429340081,1.1518203712158654,-2.280795840961364,1.2777771460912484,0.5941187201604923,-9.220017555933683,-3.000894435893207,-2.465214256845324,-4.363052630468684,-1.376124889260335,0.7049768603995861,2.14484240755223,0.8140150958997193,-0.6387232619471145
33.0,-4.0722477072312655,-1.2959140490416692,-0.04223120744536235,-1.2558801476812222,-2.1810920452182625,1.466388951749677,-2.227968034555739,1.241630948897254,0.6171516443279577,-8.675127343258564,-3.0302463101397548,-2.276539312548689,-4.459405694817441,-1.3742970640222447,1.5740682778882875,2.123779422896367,0.8143502632217149,-0.6595315622897733
34.0,-3.8977711115521103,-1.3239019153239902,0.08539157451636381,-0.9609154553906718,-2.135912065374363,1.188694451902565,-2.1860894360439844,1.2061160440384522,0.6275011842688519,-8.175629132531764,-3.0652431044830544,-2.2948476697314524,-4.5178395674110945,-1.3670350006986354,0.8945568320861157,2.109474149240696,0.8143939943383969,-0.6669953713568089
35.0,-3.7635490627048602,-1.3330109391912899,0.2371701175820422,-0.7051640512604207,-2.0895932575934744,1.3684707543876495,-2.1501331033228155,1.1767492683915735,0.6270912583728507,-7.765070951027707,-3.0860196708937204,-2.1567830837305326,-4.525313604115525,-1.3596430652888651,1.3893866397385346,2.097292554409627,0.8085277519128342,-0.6626733471027932
36.0,-3.642299064328649,-1.3383651076072893,0.3151957817025548,-0.47258994020717804,-2.0487777070343647,1.2008724031775375,-2.1184217375553858,1.1479509524645124,0.6223087641479559,-7.3837862654101505,-3.1080243120025286,-2.144644622471497,-4.511650260640455,-1.3468636281481716,0.9929443861630922,2.0860587376126047,0.8027086199152842,-0.6555125424292494
37.0,-3.551131383454237,-1.332924420204003,0.4093987389736471,-0.27110574911653984,-2.0075318313809554,1.3009287477706177,-2.088925410797393,1.1229815398554264,0.6132451469195666,-7.057780280315185,-3.1199563597685507,-2.0476321117161147,-4.468675826719822,-1.3344213189810392,1.2725309752261644,2.074311012751686,0.7935228811879504,-0.6443050132800707
38.0,-3.4717245336528286,-1.3252532569333946,0.4610567068129292,-0.08940365099254421,-1.9702812102480358,1.197761076900413,-2.0611452032313684,1.0985891874725655,0.6030568654320988,-6.752928074852587,-3.1313272122910085,-2.026229376450022,-4.41327104883397,-1.3190369486239595,1.0398039685537328,2.061966845206591,0.784392925697384,-0.6331232174668844
39.0,-2.6602163550572695,-7.868963037022606,-1.5051670104987243,-4.322378793609253,-6.9228466900699,2.0785245716800573,-3.6507484263596424,-0.034355128703118076,0.8416241138343636,-9.43817618654343,-8.20183940463361,-1.9521752099820322,0.13392311448419747,-3.235321577282007,2.5320601484019947,3.1854066992704886,2.055909275960266,-0.3735014386507146
40.0,-2.6588774744339068,-7.751030101974189,-1.5606186047948176,-4.315008732775868,-3.120980768780174,1.2219569671294557,-3.628044982001637,0.0022089748312050794,0.805744453886237,-8.364430973382124,-7.968915059364769,-2.7871779763271887,-0.8431559824581458,-1.4013197412634373,0.8677621742534187,3.136341424742224,1.9931144452042027,-0.4990688021562535
41.0,-2.505285132497379,-7.590707129391105,-1.4992104698190865,-3.6776362366494553,-3.752043148309408,1.839005651724238,-3.5546668209061103,0.034080578351649904,0.8363070264296951,-7.7188957206029105,-7.78899458493054,-2.865871870417176,-1.2071826248102608,-1.7936866287720141,2.1522530869311076,3.0898980374305234,1.92310379378532,-0.5581467382063556
42.0,-2.399091708933995,-7.453857481551807,-1.5206282623305691,-3.229768610315782,-3.5427475173794845,1.350935907115919,-3.4829461209263863,0.058898120825018996,0.8594181736021368,-7.156593610026318,-7.650109595338097,-3.1057935544150057,-1.5357084843898559,-1.7255950640512019,1.1795351807667904,3.0400176341018503,1.8616465688868034,-0.6039726097184039
