run_label,dof_lag_max,success_rate_mean,success_rate_std,success_rate_count,lin_vel_mae_mean,lin_vel_mae_std,lin_vel_mae_count,fall_rate_mean,fall_rate_std,fall_rate_count,ang_vel_mae_mean,ang_vel_mae_std,ang_vel_mae_count
baseline,0,0.9333333333333332,0.0028867513459481953,3,0.3169938188046217,0.004959162440501303,3,0.06666666666666667,0.0028867513459481333,3,0.4849355952441692,0.005367983080956435,3
baseline,5,0.9466666666666667,0.018929694486000865,3,0.32003910556435583,0.006693153774957017,3,0.05333333333333334,0.01892969448600091,3,0.484601463402311,0.016296810052112788,3
baseline,15,0.9116666666666667,0.018929694486000962,3,0.34731079578399654,0.011816191484742236,3,0.08833333333333333,0.018929694486000914,3,0.5296961349497239,0.01732465969792801,3
baseline,40,0.8450000000000001,0.048218253804964736,3,0.44132739211122196,0.025112438317785566,3,0.155,0.04821825380496476,3,0.6436164482186237,0.03617232037761151,3
baseline,50,0.7466666666666667,0.05507570547286107,3,0.5140201411892971,0.02091782794218206,3,0.25333333333333335,0.05507570547286102,3,0.754320330756406,0.03669304535950089,3
baseline,60,0.46833333333333327,0.14153915830374755,3,0.6346796109154821,0.05102170076754811,3,0.5316666666666666,0.1415391583037476,3,0.9501956886301436,0.11149127052777806,3
baseline,80,0.0,0.0,3,0.6166737469534079,0.03919061167635232,3,1.0,0.0,3,0.92451605245471,0.047067689975082316,3
dr_lag,0,0.9933333333333333,0.007637626158259773,3,0.29679053581009307,0.001809994387627982,3,0.006666666666666667,0.007637626158259733,3,0.44085560915370775,0.0020155830956211404,3
dr_lag,5,0.9783333333333334,0.010408329997330698,3,0.31265477043886974,0.005146536291957362,3,0.021666666666666667,0.010408329997330663,3,0.44532711274921893,0.005318752791864003,3
dr_lag,15,0.9683333333333333,0.016072751268321646,3,0.31718070995062586,0.000380072233705068,3,0.03166666666666667,0.016072751268321594,3,0.45143071393171946,0.0023488546896591215,3
dr_lag,40,0.9783333333333334,0.016072751268321646,3,0.3138966306050618,0.002073748481602524,3,0.021666666666666667,0.016072751268321594,3,0.462804545511802,0.003874471405085487,3
dr_lag,50,0.9716666666666667,0.012583057392117913,3,0.3202377079178889,0.007364738551910507,3,0.028333333333333332,0.012583057392117918,3,0.47314899841944374,0.007963250023426084,3
dr_lag,60,0.9566666666666667,0.007637626158259795,3,0.32845341286311547,0.004746042067366257,3,0.043333333333333335,0.007637626158259732,3,0.4969106186926364,0.00212762538889315,3
dr_lag,80,0.9033333333333333,0.020207259421636887,3,0.35408500528583914,0.003957174861024823,3,0.09666666666666668,0.02020725942163691,3,0.5468881120781104,0.009597661508535586,3
weakrl,0,0.9866666666666667,0.0028867513459481233,3,0.15561484737942613,0.0010947763832085218,3,0.013333333333333334,0.002886751345948128,3,0.3184034921725591,0.003148869836488166,3
weakrl,5,0.9933333333333333,0.007637626158259777,3,0.16324017131080226,0.0032034671512617676,3,0.006666666666666667,0.007637626158259733,3,0.32799687611560024,0.014495768878318308,3
weakrl,15,0.9899999999999999,0.00866025403784441,3,0.1641392200440168,0.0029129961166681146,3,0.01,0.008660254037844387,3,0.32164575482408203,0.004463484647805196,3
weakrl,40,0.9766666666666666,0.01040832999733062,3,0.1625844199582934,0.0007188288525555061,3,0.023333333333333334,0.010408329997330665,3,0.3241036665191253,0.008132891541257384,3
weakrl,60,0.9783333333333334,0.0057735026918962545,3,0.1689877248803774,0.0010299302545329469,3,0.021666666666666667,0.005773502691896259,3,0.33145624662439027,0.003960914321028351,3
weakrl,80,0.9266666666666666,0.044814432199162486,3,0.1896204122900962,0.0081001303918078,3,0.07333333333333333,0.0448144321991625,3,0.3581648849944273,0.010586775534838937,3
